,tweet,closed,closure,fire
0,"Ensure you are properly disposing of ashes created by your fireplace or wood burning stove. Place ashes in a bucket made of non-flammable material, and only store that bucket on concrete or bare mineral soil. A deck can catch fire from transferred heat. #FireplaceSafetypic.twitter.com/Cwm3kW0wYS",0,0,1
1,"#CampFire [final] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 100% contained at 153,336 acres. Unified Command: @CALFIRE_ButteCo, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/TjMmiLrRQQ",0,0,1
2,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 153,336 acres and 98% contained. Unified Command: @CALFIRE_ButteCo, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/izWY2jM5Xd",0,0,1
3,#CampFire [update] Some evacuation zones have been lifted.pic.twitter.com/8mimA07LSH,0,0,0
4,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) remains 153,336 acres and 95% contained. Unified Command: @CALFIRE_ButteCo, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/8Yc3yEIpOt",0,0,1
5,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) remains 153,336 acres and 95% contained. Unified Command: CAL FIRE, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/RvTrhNaq7J",0,0,2
6,"Although wildfire damage can be immeasurable, the danger is not over after the flames are put out. Learn more at http://www.readyforwildfire.org/After-a-Wildfire/ … Until significant fire activity increases, this will be the last California Statewide Fire Summary. http://www.fire.ca.gov pic.twitter.com/5rG5qyamw4",0,0,3
7,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) remains 153,336 acres and 95% contained. Unified Command: CAL FIRE, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/m1eF4wYjzT",0,0,2
8,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 153,336 acres and 95% contained. Unified Command: CAL FIRE, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/9MYeZYr7Lm",0,0,2
9,CAL FIRE would like to wish you and your loved ones a #HappyThanksgiving.pic.twitter.com/WGKqyS6sdQ,0,0,1
10,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 153,336 acres and 90% contained. Unified Command: CAL FIRE, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/fh3o2zDoUQ",0,0,2
11,#CampFire Evacuation Update 11/21/18: Morgan Ridge Zone A and the Lower Pentz Evacuation Zone will be lifted tomorrow morning at 8:00 AM for residents only. @CALFIRE_ButteCo @ButteSheriff @CountyofButte @townofparadise @chicofd @chicopolice @CHP_Valley @CHP_Oroville @CHP_Chicopic.twitter.com/WlZgmuieQr,0,0,0
12,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 153,336 acres and 85% contained. Unified Command: @CALFIRE_ButteCo, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/mpnZ93iT35",0,0,1
13,"Although a wildfire may be contained, areas ravaged by fire leave many dangers behind. It's important for crews to reduce hazards & prevent further threats to lives & property as residents begin to return home. Always use caution in effected areas. http://www.readyforwildfire.org/postwildfire/ pic.twitter.com/6hPQBJqTuY",0,0,1
14,"In less than two weeks, the #WoolseyFire & #CampFire damaged & destroyed thousands of homes, injured first responders, & took the lives of over 80 individuals. CAL FIRE’s first responders will continue to work through Thanksgiving to protect Californians against further loss.pic.twitter.com/S66E6NtCNv",0,0,1
15,"Although wildfire damage can be immeasurable, the danger is not over after the flames are put out. Structural damage, road instability, damaged trees and power lines are just some of the dangers that exist after a wildfire. http://calfire.ca.gov/communications/downloads/fact_sheets/ReturningHomeAfterAfterAFire_print.pdf …pic.twitter.com/VFSngXVwkX",0,0,0
16,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 153,336 acres and 80% contained. Unified Command: @CALFIRE_ButteCo, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/esCG8BMcpN",0,0,1
17,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 96,949 acres and 98% contained. ***CAL FIRE is no longer in unified command. Click the link for future updates from the @LACoFDPIO and @VCFD . http://www.lacounty.gov/woolseyfire/ pic.twitter.com/lAfAxSVRQ1",0,0,1
18,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 152,250 acres and 75% contained. Unified Command: @CALFIRE_ButteCo, @ButteSheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/mD4aKIczxn",0,0,1
19,"Mental health is important, especially during times of crisis. If you are someone that is currently dealing with the emotional hardships surrounding these devastating fires, please seek out help. For resources check with your healthcare provider or visit http://www.211.org/services/crisis-and-emergency …pic.twitter.com/QSP0nuEdGv",0,0,0
20,#CampFire [update] Some evacuation zones and zone areas have been liftedhttps://twitter.com/CALFIRE_ButteCo/status/1064974160084971520 …,0,0,0
21,#WoolseyFire [update] Repopulation of areas within Los Angeles County – Areas of Corral Canyonpic.twitter.com/LPoYTGxSpS,0,0,0
22,#WoolseyFire Flood Safety Updatehttps://twitter.com/CALFIRE_SLO/status/1064939844168671233 …,0,0,0
23,"Although wildfire damage can be immeasurable, the danger is not over after the flames are put out. Flash #flooding and debris flows, structural damage, road instability, and damaged trees are just some of the dangers that exist after a wildfire. http://www.readyforwildfire.org/After-a-Wildfire/ …pic.twitter.com/lFvodyyrPL",0,0,0
24,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 96,949 acres and 96% contained. Unified Command: @VCFD and @LACoFDPIO. https://www.vcemergency.com/ pic.twitter.com/feiKuXLpOs",0,0,0
25,"#CampFire Evacuation Update 11/20/18: Little Chico A & B, Butte Creek, and Lower and Upper Honey Run Evacuation Zone Warning Lifted @ButteSheriff @CountyofButte @paradise_ca @chicofd @chicopolice @CHP_Valley @CHP_Oroville @CHP_Chico @CAL_FIREpic.twitter.com/ddZXJ61J9a",0,0,0
26,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 151,373 acres and 70% contained. Unified Command: @CALFIRE_ButteCo, @ButteSheriff, Paradise PD, and the @USFSPlumas. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/G7E4lTivqS",0,0,1
27,"#CampFire [update] Pulga Road at Camp Creek Road near Jarbo Gap (Butte County) is now 151,272 acres and 70% contained. Unified Command: CAL FIRE, Butte Sheriff, Paradise Police Department, and the USFS. http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2277 …pic.twitter.com/N44eWz2dd2",0,0,2
28,"#WoolseyFire [update] south of Simi Valley (Ventura & Los Angeles Counties) is now 96,949 acres and 94% contained. Unified Command: CAL FIRE, Ventura County Fire, Ventura County Sheriff, LA County Fire, LA City Fire, LA Sheriff, and LAPD http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2282 …pic.twitter.com/Z7N7MV9WIH",0,0,5
29,#CampFire *UPDATE* for Berry Creek Evacuation Zone A. #buttecounty @ButteSheriff @CountyofButte @paradise_ca @chicofd @chicopolice @CHP_Valley @CHP_Oroville @CHP_Chico @CAL_FIREpic.twitter.com/bGX4kfX3og,0,0,0
30,"#CampFire [update] 11∙19∙18 Evacuation updates in upper Magalia, Sterling City and Inskip. As areas affected by the Camp Fire are opened to the public, there is important HEALTH and SAFETY information that you need to be aware of.pic.twitter.com/E3DvXqEwhV",0,0,1
31,#CampFire Evacuation warning areas liftedpic.twitter.com/QcimgSQ2nS,0,0,0
32,"#BearFire [Final] off Bear Creek Road and Mayfair Road, Boulder Creek north of Santa Cruz (Santa Cruz County) is now 100% contained at 10 acres. https://twitter.com/CALFIRECZU pic.twitter.com/MsQeusInNX",0,0,0
33,#WoolseyFire Repopulation of Broad Beachpic.twitter.com/OclMnYOoUe,0,0,0
34,"Although wildfire damage can be immeasurable, the danger is not over after the flames are put out. #FlashFooding and debris flows, structural damage, road instability, and damaged trees are just some of the dangers that exist after a wildfire. http://www.readyforwildfire.org/After-a-Wildfire/ … #floodingpic.twitter.com/vKr2YfEmMM",0,0,0
